3450.633,240055.263,22.442,100750.000,300.250,1.169,294.415,0.000,288.893,268.283,275.330,286.982,280.310,-103.380,-103.837,-105.012,-105.752,-112.748,-116.378,-115.288,-111.414,-92.918,-97.994,-98.121,-96.578,-78.740,-85.219,-86.842,-81.575,-82.457,-75.769,-73.644,-73.097,-66.967,-63.926,-60.343,-58.727,325.366,-64.857,-59.172,-59.950,-72.414,-88.769,-64.202,-59.025,-60.622,-69.518,-91.223,323.415,327.019,325.271,330.619,326.823,327.658
3450.683,240192.590,22.454,100750.000,300.250,1.169,294.752,0.000,288.706,268.610,276.176,285.772,280.622,-101.521,-101.015,-107.571,-105.424,-105.952,-111.422,-112.103,-112.565,-97.920,-99.482,-94.385,-96.972,-92.023,-92.997,-88.183,-86.280,-82.140,-75.615,-73.484,-72.921,-71.037,-67.092,-62.569,-60.072,325.699,-64.665,-58.979,-60.065,-70.363,-88.871,-64.019,-59.754,-60.424,-69.324,-94.098,324.206,327.793,325.770,330.818,327.634,328.157
3450.733,239921.468,22.429,100750.000,300.250,1.169,294.087,0.000,289.413,268.633,275.511,286.645,280.143,-95.042,-93.998,-97.622,-100.614,-100.860,-101.286,-103.279,-103.149,-89.358,-85.742,-91.472,-93.709,-86.757,-90.140,-92.159,-92.686,-76.816,-71.970,-70.598,-71.487,-69.841,-66.258,-62.213,-59.899,325.200,-65.330,-58.113,-58.887,-71.028,-89.536,-64.684,-59.806,-61.391,-70.294,-92.310,323.249,326.852,325.105,330.453,326.657,327.492
3450.783,240114.900,22.447,100750.000,300.250,1.169,294.561,0.000,288.755,267.630,275.041,287.694,280.975,-98.771,-101.454,-109.473,-108.639,-114.661,-123.408,-122.388,-118.113,-81.863,-79.290,-88.562,-92.055,-68.409,-68.793,-79.766,-83.306,-81.838,-75.223,-73.463,-73.607,-61.245,-60.971,-57.985,-57.044,325.040,-65.068,-57.853,-59.239,-71.997,-89.594,-62.730,-58.546,-59.939,-68.514,-92.969,323.468,327.298,325.072,331.595,327.245,328.049
3450.829,239981.138,22.435,100750.000,300.250,1.169,294.233,0.000,288.417,267.292,273.488,286.845,279.691,-101.489,-104.300,-111.798,-111.885,-110.689,-117.404,-112.349,-111.314,-95.515,-90.218,-99.802,-97.757,-82.356,-85.338,-87.290,-85.445,-84.182,-77.113,-75.151,-74.742,-68.346,-65.300,-62.578,-60.564,324.874,-64.927,-59.244,-60.019,-70.922,-90.962,-65.112,-60.860,-61.010,-70.205,-93.441,323.301,327.131,324.593,331.429,327.702,327.579
3450.829,240123.035,22.448,100750.000,300.250,1.169,294.581,0.000,289.574,268.277,275.843,287.831,281.407,-99.472,-98.846,-101.247,-104.217,-109.883,-111.583,-107.602,-102.267,-99.850,-102.794,-107.325,-103.197,-83.633,-91.216,-94.217,-97.018,-79.750,-73.362,-71.618,-72.123,-71.877,-67.591,-63.243,-60.908,325.201,-64.384,-57.780,-58.248,-71.937,-92.208,-65.302,-60.394,-60.757,-69.047,-91.671,323.874,327.461,325.437,330.485,327.301,327.825
3450.929,240057.926,22.442,100750.000,300.250,1.169,294.421,0.000,289.414,268.806,275.353,288.013,281.061,-95.388,-97.407,-100.189,-99.766,-94.039,-97.554,-99.893,-100.052,-78.015,-81.770,-88.071,-86.403,-85.197,-90.504,-88.316,-87.139,-79.555,-73.530,-72.124,-71.968,-70.393,-66.800,-62.772,-60.572,326.037,-64.544,-57.634,-58.100,-72.408,-88.162,-64.114,-60.169,-60.917,-69.512,-92.751,324.299,328.405,325.904,332.126,328.388,328.576
3450.979,239720.591,22.410,100750.000,300.250,1.169,293.594,0.000,288.749,267.624,275.034,287.860,280.396,-95.373,-97.536,-102.652,-104.880,-107.658,-114.501,-115.597,-115.197,-81.342,-80.779,-86.181,-98.674,-80.977,-84.829,-94.867,-93.904,-79.676,-73.505,-71.606,-71.987,-68.690,-65.800,-61.905,-60.064,325.538,-65.209,-57.993,-59.073,-71.521,-90.029,-64.146,-59.607,-60.376,-68.653,-92.802,323.634,328.016,325.239,331.161,327.411,328.215
3451.029,239855.432,22.423,100750.000,300.250,1.169,293.925,0.000,289.585,268.117,275.338,287.840,280.516,-100.825,-102.395,-102.659,-101.641,-108.236,-107.287,-110.441,-110.480,-88.649,-79.947,-94.709,-94.602,-84.838,-84.152,-81.306,-86.945,-80.627,-74.211,-72.965,-72.617,-66.795,-64.925,-61.191,-59.564,325.034,-64.716,-58.725,-58.580,-70.718,-89.536,-63.734,-58.578,-59.582,-68.465,-91.390,323.249,327.128,325.105,330.153,327.280,327.796
3451.029,239716.130,22.410,100750.000,300.250,1.169,293.583,0.000,287.719,267.108,272.939,287.346,279.665,-97.918,-102.881,-107.102,-107.610,-101.165,-107.437,-108.957,-106.930,-91.798,-87.401,-96.567,-97.767,-79.397,-82.704,-77.557,-81.510,-82.744,-75.738,-73.799,-73.282,-65.091,-62.925,-60.493,-59.055,324.369,-65.074,-58.471,-59.245,-72.314,-90.201,-63.449,-60.164,-60.850,-69.435,-95.428,322.876,326.463,324.127,329.788,326.304,326.827
